X,Y
6.3,1.9
12.3,0.5
20.6,0.9
21,2.8
11.6,3.5
16.3,5.7
22.6,4.1
29.9,3.4
29.7,1.9
34.4,3.3
37.9,1
48.3,2.2
44,3.7
49.6,5.4
38,6.3
41.2,7.2
30.1,9.2
56.7,5
61.2,5.6
72.8,5.8
61.4,7.9
59.6,10.1
49.6,10.7
45.1,12.4
56.2,12.9
63.7,12.2
68.6,11.5
75,13.6
83.5,12
62.9,14.3
54.8,15.8
52.6,19.3
63.2,16.5
71.1,16.3
69.6,17.7
79.6,15.6
87.5,17.1
77.4,19.1
86.3,20.3
85.2,23.1
93.5,19.3
96.3,20.9
103.1,21.4
96.5,16.6
103.6,17.1
111.5,14.1
110.5,17.3
118.2,17.8
110.8,19.6
115.2,21.7
